act_id,mov_id,role,,,count,name
101,901,John Scottie Ferguson,,,1,
102,902,Miss Giddens,,,1,
103,903,T.E. Lawrence,,,1,
104,904,Michael,,,1,
105,905,Antonio Salieri,,,1,
106,906,Rick Deckard,,,1,
107,907,Alice Harford,,,1,
108,908,McManus,,,1,
110,910,Eddie Adams,,,1,
111,911,Alvy Singer,,,1,
112,912,San,,,1,
113,913,Andy Dufresne,,,1,
114,914,Lester Burnham,,,2,114
115,915,Rose DeWitt Bukater,,,1,
116,916,Sean Maguire,,,1,
117,917,Ed,,,1,
118,918,Renton,,,1,
120,920,Elizabeth Darko,,,1,
121,921,Older Jamal,,,1,
122,922,Ripley,,,1,
114,923,Bobby Darin,,,2,114
109,909,J.J. Gittes,,,1,
119,919,Alfred Borden,,,1,
